country,year,nuclear,total,nuclear_share
Belgium,2016,43523.0,85606.0,0.5084106254234516
Bulgaria,2016,15776.0,45279.416,0.34841438767673155
Czechia,2016,24104.0,83310.076,0.28932874818167253
Denmark,2016,0.0,30538.406,0.0
Germany,2016,84634.0,650449.0,0.13011627352797836
Estonia,2016,0.0,12169.924,0.0
Ireland,2016,0.0,30613.039,0.0
Greece,2016,0.0,54437.935,0.0
Spain,2016,58633.0,274771.767,0.2133880079462458
France,2016,403195.482,564533.067,0.7142105672261709
Croatia,2016,0.0,12819.912,0.0
Italy,2016,0.0,289768.359,0.0
Cyprus,2016,0.0,4887.659,0.0
Latvia,2016,0.0,6425.586,0.0
Lithuania,2016,0.0,4266.0,0.0
Luxembourg,2016,0.0,2197.58,0.0
Hungary,2016,16054.0,31901.524,0.5032361463358302
Malta,2016,0.0,857.084,0.0
Netherlands,2016,3960.278,115158.408,0.034389829355751425
Austria,2016,0.0,68308.186,0.0
Poland,2016,0.0,166636.413,0.0
Portugal,2016,0.0,60328.15,0.0
Romania,2016,11286.0,65103.043,0.17335595204052137
Slovenia,2016,5715.0,16501.868,0.3463244282404877
Slovakia,2016,14774.0,27064.0,0.545891220809932
Finland,2016,23203.0,68757.176,0.3374629580481897
Sweden,2016,63101.0,156009.638,0.4044686008437504
Belgium,2017,42226.8,86619.0,0.48750043293041945
Bulgaria,2017,15545.499,45612.791,0.34081446583700614
Czechia,2017,28339.6,87056.157,0.3255324031820058
Denmark,2017,0.0,31022.559,0.0
Germany,2017,76324.0,653723.0,0.11675281426536928
Estonia,2017,0.0,13160.46,0.0
Ireland,2017,0.0,30997.238,0.0
Greece,2017,0.0,55266.089,0.0
Spain,2017,58039.0,275726.0,0.21049520175826728
France,2017,398359.129,561770.544,0.7091135931826287
Croatia,2017,0.0,11983.5,0.0
Italy,2017,0.0,295830.009,0.0
Cyprus,2017,0.0,5004.365,0.0
Latvia,2017,0.0,7531.189,0.0
Lithuania,2017,0.0,4187.2,0.0
Luxembourg,2017,0.0,2235.141,0.0
Hungary,2017,16098.0,32915.0,0.48907792799635424
Malta,2017,0.0,1651.778,0.0
Netherlands,2017,3402.478,117167.738,0.02903937600980229
Austria,2017,0.0,71324.414,0.0
Poland,2017,0.0,170465.353,0.0
Portugal,2017,0.0,59431.722,0.0
Romania,2017,11508.865,64296.019,0.17899809628960076
Slovenia,2017,6285.272,16326.225,0.3849801163465528
Slovakia,2017,15081.0,27738.0,0.5436945706251352
Finland,2017,22477.0,67524.666,0.3328709541488143
Sweden,2017,65696.0,164250.0,0.39997564687975645
Belgium,2018,28597.0,75039.936,0.3810904103116506
Bulgaria,2018,16125.281,46837.683,0.34428007465698085
Czechia,2018,29921.311,88037.916,0.33986846076638166
Denmark,2018,0.0,30370.174,0.0
Germany,2018,76005.0,640468.0,0.11867103430616362
Estonia,2018,0.0,12364.171,0.0
Ireland,2018,0.0,31278.041,0.0
Greece,2018,0.0,53262.785,0.0
Spain,2018,55766.0,274452.0,0.20319035751242476
France,2018,412941.812,582576.866,0.7088194470118213
Croatia,2018,0.0,13631.7,0.0
Italy,2018,0.0,289708.433,0.0
Cyprus,2018,0.0,5060.567,0.0
Latvia,2018,0.0,6724.875,0.0
Lithuania,2018,0.0,3511.1,0.0
Luxembourg,2018,0.0,2199.688,0.0
Hungary,2018,15733.0,32067.0,0.4906289955405869
Malta,2018,0.0,1962.48,0.0
Netherlands,2018,3514.77,114379.713,0.030728963273408457
Austria,2018,0.0,68617.889,0.0
Poland,2018,0.0,170039.461,0.0
Portugal,2018,0.0,59636.082,0.0
Romania,2018,11377.435,64876.464,0.1753707631168061
Slovenia,2018,5776.439,16326.935,0.35379812561267626
Slovakia,2018,14843.0,26971.0,0.5503318378999666
Finland,2018,22793.0,70263.128,0.3243948945740076
Sweden,2018,68549.0,163400.0,0.4195165238678091
Belgium,2019,43523.6,93644.295,0.46477577731777464
Bulgaria,2019,16555.288,44276.591,0.3739061121485166
Czechia,2019,30246.209,87035.182,0.34751704201641126
Denmark,2019,0.0,29516.955,0.0
Germany,2019,75071.0,606917.0,0.12369236650151504
Estonia,2019,0.0,7615.265,0.0
Ireland,2019,0.0,31121.551,0.0
Greece,2019,0.0,48625.991,0.0
Spain,2019,58349.0,273257.0,0.21353158382035958
France,2019,399011.587,571316.327,0.6984074638567085
Croatia,2019,0.0,12760.3,0.0
Italy,2019,0.0,293852.993,0.0
Cyprus,2019,0.0,5141.491,0.0
Latvia,2019,0.0,6438.385,0.0
Lithuania,2019,0.0,3971.6,0.0
Luxembourg,2019,0.0,1908.422,0.0
Hungary,2019,16288.0,34291.0,0.4749934385115628
