country,year,nuclear,total,nuclear_share,co2_per_capita
Belgium,2016,43523.0,85606.0,0.5084106254234516,8.807806
Bulgaria,2016,15776.0,45279.416,0.3484143876767315,6.3618603
Czechia,2016,24104.0,83310.076,0.2893287481816725,10.125045
Denmark,2016,0.0,30538.406,0.0,6.44471
Germany,2016,84634.0,650449.0,0.1301162735279783,9.642186
Estonia,2016,0.0,12169.924,0.0,13.248403
Ireland,2016,0.0,30613.039,0.0,8.492474
Greece,2016,0.0,54437.935,0.0,6.6223903
Spain,2016,58633.0,274771.767,0.2133880079462458,5.554019
France,2016,403195.482,564533.067,0.7142105672261709,5.1545954
Croatia,2016,0.0,12819.912,0.0,4.370736
Italy,2016,0.0,289768.359,0.0,5.9216995
Cyprus,2016,0.0,4887.659,0.0,5.9411874
Latvia,2016,0.0,6425.586,0.0,3.6791766
Lithuania,2016,0.0,4266.0,0.0,4.5664067
Luxembourg,2016,0.0,2197.58,0.0,15.556185
Hungary,2016,16054.0,31901.524,0.5032361463358302,4.794759
Malta,2016,0.0,857.084,0.0,3.0220766
Netherlands,2016,3960.278,115158.408,0.0343898293557514,9.579465
Austria,2016,0.0,68308.186,0.0,7.692762
Poland,2016,0.0,166636.413,0.0,8.449371
Portugal,2016,0.0,60328.15,0.0,4.8626604
Romania,2016,11286.0,65103.043,0.1733559520405213,3.8725147
Slovenia,2016,5715.0,16501.868,0.3463244282404877,7.0186086
Slovakia,2016,14774.0,27064.0,0.545891220809932,6.444788
Finland,2016,23203.0,68757.176,0.3374629580481897,8.598358
Sweden,2016,63101.0,156009.638,0.4044686008437504,4.3643203
Belgium,2017,42226.8,86619.0,0.4875004329304194,8.726891
Bulgaria,2017,15545.499,45612.791,0.3408144658370061,6.705518
Czechia,2017,28339.6,87056.157,0.3255324031820058,10.220285
Denmark,2017,0.0,31022.559,0.0,6.0127726
Germany,2017,76324.0,653723.0,0.1167528142653692,9.441122
Estonia,2017,0.0,13160.46,0.0,14.13057
